complex.id,burial,n_pep_contacted,chain_balance,n_hbond,D2_pep24,fp_b0_frac_r7,H_cell,L_canon,ab_imb,neg_energy,log_z,log_lik,mu_star,n_contacts
1ao7,1994.722714,8.000000,0.482759,8.000000,7.778571,0.035714,0.782058,0.332003,0.151515,26.360560,57.188960,-30.868657,0.484602,29.000000
1bd2,1828.035802,6.000000,0.476190,3.000000,7.281385,0.074074,0.779656,1.581464,0.413793,15.196773,43.559905,-28.324661,-0.194728,21.000000
1d9k,1975.740294,7.000000,0.222222,2.000000,8.281369,0.153846,0.845963,0.673577,0.363636,13.917939,34.704760,-20.756703,-0.069780,18.000000
1fo0,1321.085364,4.000000,0.000000,5.000000,4.281553,0.130435,0.585679,2.390596,1.000000,11.805053,24.652819,-12.865685,0.150460,11.000000
1fyt,2078.025712,8.000000,0.416667,4.000000,9.757506,0.103448,0.902093,0.703759,-0.138462,8.709439,43.253348,-34.532911,0.026398,23.000000
1g6r,1776.226428,5.000000,0.421053,3.000000,9.209836,0.080000,0.896550,1.237162,-0.169811,-0.522877,25.788280,-26.283346,0.347702,19.000000
1j8h,2083.753942,7.000000,0.434783,2.000000,9.947368,0.111111,0.903647,0.870555,-0.142857,8.022385,46.329773,-38.319330,-0.118828,22.000000
1jtr,2015.069327,6.000000,0.444444,5.000000,9.890110,0.034483,0.924382,0.796331,-0.066667,5.982420,28.444537,-22.476718,0.247577,18.000000
1kj2,1758.839786,6.000000,0.461538,2.000000,8.183879,0.033333,0.878924,1.187560,-0.052632,7.286958,28.852646,-21.536964,-0.574309,13.000000
1lp9,1988.820930,7.000000,0.333333,4.000000,8.197605,0.034483,0.820376,2.908721,0.270270,31.783731,61.906182,-30.053182,-0.240234,24.000000
1mi5,2230.638893,5.000000,0.400000,2.000000,7.282569,0.076923,0.824274,1.526056,0.206349,3.313195,47.484642,-44.127423,-0.786495,15.000000
1mwa,2011.560482,6.000000,0.444444,5.000000,9.890110,0.034483,0.924382,0.796331,-0.066667,5.982420,28.461742,-22.469132,0.248197,18.000000
1nam,1576.056610,4.000000,0.000000,1.000000,3.231494,0.125000,0.510515,2.649639,1.000000,11.339281,22.415683,-11.078898,-0.584798,9.000000
1oga,1497.383012,5.000000,0.368421,4.000000,6.720930,0.100000,0.816033,0.974510,-0.411765,32.184823,54.784468,-22.587760,-0.731652,19.000000
1qrn,1964.698978,8.000000,0.464286,4.000000,7.956685,0.076923,0.789400,0.397507,0.200000,21.344014,57.216530,-35.885290,0.275635,28.000000
1qse,1946.878155,8.000000,0.483871,9.000000,8.291498,0.080000,0.787267,0.720668,0.218750,17.578326,54.508272,-36.943346,0.526415,31.000000
1qsf,1811.719149,8.000000,0.285714,4.000000,7.192661,0.080000,0.770274,0.379661,0.464286,19.693493,42.244018,-22.539191,0.016754,21.000000
1u3h,1853.836370,7.000000,0.294118,4.000000,7.822472,0.066667,0.832447,1.140483,0.254237,15.862883,36.342449,-20.450113,-0.379772,17.000000
1ymm,1974.640812,8.000000,0.322581,2.000000,8.176685,0.083333,0.803930,2.275389,-0.074627,34.154834,77.588105,-43.413723,-0.120650,31.000000
1zgl,2179.381132,10.000000,0.409091,3.000000,8.535484,0.031250,0.879924,0.369533,-0.142857,16.170520,55.946041,-39.761462,-0.740556,22.000000
2ak4,1861.924539,7.000000,0.444444,10.000000,8.050710,0.142857,0.787847,-0.222062,0.142857,82.195018,120.428138,-38.279284,-0.590592,36.000000
2bnq,2088.211233,5.000000,0.482759,6.000000,8.055749,0.100000,0.846309,2.058455,0.058824,28.340572,62.267159,-33.931500,0.068044,29.000000
2bnr,2050.422486,6.000000,0.500000,6.000000,8.626761,0.173913,0.847505,1.821503,0.000000,25.235688,63.443433,-38.224527,0.408638,32.000000
2ckb,1971.996608,6.000000,0.411765,4.000000,9.084084,0.120000,0.909011,1.021873,-0.054545,0.486089,24.277856,-23.837299,0.237267,17.000000
2e7l,1816.729160,7.000000,0.363636,3.000000,9.137056,0.111111,0.902578,1.786482,0.133333,28.745312,61.574506,-32.855407,-0.449875,22.000000
2esv,1963.878444,6.000000,0.400000,5.000000,8.823529,0.074074,0.899124,0.882586,-0.066667,9.289480,37.297656,-27.999917,0.512633,20.000000
2f53,1922.882180,5.000000,0.448276,6.000000,8.456483,0.142857,0.858114,1.701608,-0.130435,29.745699,62.267501,-32.480772,0.129670,29.000000
2f54,2063.696984,5.000000,0.500000,6.000000,8.286738,0.100000,0.852829,1.851395,0.029412,27.974350,62.271096,-34.315892,0.232737,30.000000
2gj6,1880.991531,8.000000,0.476190,6.000000,6.968889,0.037037,0.772730,0.112712,0.107143,24.106092,54.617275,-30.531107,-0.256560,21.000000
2iam,2181.414534,9.000000,0.500000,5.000000,8.889610,0.062500,0.884812,0.782723,0.054054,10.719272,43.378032,-32.629499,0.456946,26.000000
2ian,2227.695107,9.000000,0.500000,5.000000,9.096346,0.066667,0.890101,0.942873,0.081081,17.725056,46.064580,-28.330621,0.322597,26.000000
2j8u,1991.129599,7.000000,0.400000,1.000000,8.287305,0.034483,0.821908,2.517321,0.180328,18.096023,49.491812,-31.363456,-0.269444,20.000000
2jcc,1971.777991,7.000000,0.363636,4.000000,8.390654,0.037037,0.821755,2.793208,0.253731,32.142025,60.395206,-28.267203,-0.469982,22.000000
2nx5,2073.918671,7.000000,0.166667,6.000000,8.176656,0.033333,0.833937,0.964291,-0.083333,21.695157,45.646997,-23.953300,0.395875,24.000000
2oi9,1692.250839,7.000000,0.285714,3.000000,8.838480,0.107143,0.896725,1.578185,0.016393,10.953778,42.943195,-31.937619,0.014067,21.000000
2ol3,1461.135492,4.000000,0.000000,6.000000,4.454545,0.136364,0.580780,2.617078,1.000000,15.473223,33.806753,-18.330151,-0.146032,14.000000
2p5e,2044.601504,6.000000,0.466667,6.000000,8.550476,0.173913,0.844867,1.699546,-0.104478,33.122999,68.524806,-35.373565,0.072275,30.000000
2p5w,2061.884335,6.000000,0.466667,6.000000,8.334405,0.160000,0.842941,1.800655,-0.083333,31.776115,66.583352,-34.799591,0.181493,30.000000
2pxy,1981.203046,9.000000,0.454545,3.000000,7.894815,0.062500,0.832305,1.524748,0.205479,37.977450,66.344250,-28.347479,-0.770289,22.000000
2pye,1880.456769,5.000000,0.448276,6.000000,8.618834,0.150000,0.851936,1.581464,-0.032258,29.052527,62.450630,-33.418659,0.175513,29.000000
2uwe,1977.935249,8.000000,0.333333,4.000000,8.254777,0.032258,0.814767,2.833213,0.277778,36.749862,63.160389,-26.416349,-0.257302,24.000000
2vlj,1461.186473,6.000000,0.421053,4.000000,7.490667,0.090909,0.834261,1.077164,-0.283019,27.745477,53.052591,-25.323922,-0.626285,19.000000
2vlk,1499.287671,5.000000,0.368421,4.000000,7.087193,0.095238,0.828784,0.974510,-0.372549,31.154905,53.940043,-22.779040,-0.668279,19.000000
2vlr,1536.354707,5.000000,0.368421,3.000000,7.010782,0.100000,0.824109,0.852248,-0.372549,31.570175,53.292188,-21.740489,-0.518587,19.000000
2wbj,2507.382443,2.000000,0.000000,1.000000,2.322581,0.071429,0.386177,-0.310155,-1.000000,-2.049042,5.015651,-7.064693,0.481394,4.000000
2ypl,1484.453159,8.000000,0.173913,8.000000,6.825806,0.040000,0.770636,0.771216,0.391304,35.583794,61.099618,-25.529801,-0.147614,23.000000
2z31,1977.492599,8.000000,0.476190,2.000000,8.344828,0.064516,0.843593,1.621523,0.212121,37.281759,63.937914,-26.669399,-0.799008,21.000000
3c5z,2228.002958,8.000000,0.454545,5.000000,7.758389,0.071429,0.847058,0.575277,0.088235,9.144335,47.408825,-38.237396,-0.084663,22.000000
3c60,1424.859018,7.000000,0.466667,0.000000,7.411765,0.181818,0.842332,0.164378,-0.285714,-15.691110,12.607105,-28.298408,0.940871,15.000000
3c6l,1786.539485,9.000000,0.450000,4.000000,9.290323,0.166667,0.869384,-0.086576,-0.083333,1.597012,25.600387,-24.025793,0.396209,20.000000
3d39,1735.086380,7.000000,0.500000,4.000000,6.793970,0.040000,0.777377,0.066140,0.153846,20.289720,38.023150,-17.750472,-0.001826,18.000000
3d3v,1732.259223,7.000000,0.470588,6.000000,6.899204,0.083333,0.781445,0.105182,0.215686,20.056251,35.939874,-15.864383,-0.006187,17.000000
3dxa,2010.535091,7.000000,0.468750,4.000000,8.752137,0.083333,0.872898,2.131151,0.000000,16.210607,63.179571,-46.970665,0.531901,31.000000
3e2h,1753.179515,6.000000,0.333333,2.000000,7.500000,0.037037,0.870677,2.130902,0.066667,18.935812,48.941305,-30.051617,-0.531199,18.000000
