pmhc_id,tcr_id
1ao7,2f54
1ao7,5tje
1ao7,6mtm
1ao7,7jwi
1ao7,7na5
1ao7,7pbc
1ao7,7r80
1ao7,8ryp
1ao7,8v50
1ao7,9j4u
1bd2,3mv8
1bd2,3nfj
1bd2,3w0w
1bd2,4g8g
1bd2,5euo
1bd2,5sws
1bd2,6avf
1bd2,6r2l
1bd2,9hlj
1bd2,9ru5
1d9k,2z31
1d9k,3c6l
1d9k,4z7u
1d9k,4z7w
1d9k,5ksb
1d9k,6mkr
1d9k,6px6
1d9k,6xc9
1d9k,7t2b
1d9k,8vcy
1fo0,1ao7
1fo0,1mwa
1fo0,2vlj
1fo0,3mv7
1fo0,5c0b
1fo0,5w1v
1fo0,7ow5
1fo0,8es9
1fo0,8ryp
1fo0,9nmv
1fyt,2wbj
1fyt,4grl
1fyt,4ozg
1fyt,4p23
1fyt,4z7v
1fyt,4z7w
1fyt,6u3n
1fyt,6xco
1fyt,7t2b
1fyt,8vq8
1g6r,3gsn
1g6r,3kxf
1g6r,3qdj
1g6r,4eup
1g6r,5men
1g6r,6l9l
1g6r,6tmo
1g6r,8gon
1g6r,8wte
1g6r,9j4t
1j8h,3pl6
1j8h,4may
1j8h,4p4k
1j8h,4p5t
1j8h,4z7w
1j8h,6v19
1j8h,6v1a
1j8h,7sg0
1j8h,7sg2
1j8h,8vq8
1jtr,2ckb
1jtr,3kxf
1jtr,4qok
1jtr,4qrp
1jtr,4qrr
1jtr,5nht
1jtr,6bj8
1jtr,6rsy
1jtr,7na5
1jtr,8f5a
1kj2,2f53
1kj2,3d39
1kj2,3gsn
1kj2,3kps
1kj2,3utt
1kj2,4g9f
1kj2,5w1v
1kj2,7ndu
1kj2,8ryo
1kj2,9nmx
1lp9,3h9s
1lp9,5eu6
1lp9,5m01
1lp9,5yxn
1lp9,5yxu
1lp9,7dzn
1lp9,7qpj
1lp9,8gvb
1lp9,8ye4
1lp9,9nmw
1mi5,1nam
1mi5,3rgv
1mi5,4zez
1mi5,5hhm
1mi5,5nme
1mi5,5xot
1mi5,6ulr
1mi5,6vmc
1mi5,7n2q
1mi5,8v51
1mwa,2jcc
1mwa,2vlj
1mwa,3dxa
1mwa,3o4l
1mwa,4ftv
1mwa,4mxq
1mwa,5hhm
1mwa,6vma
1mwa,7rtr
1mwa,9rup
1nam,1qse
1nam,2ak4
1nam,2esv
1nam,3kxf
1nam,3rgv
1nam,3tf7
1nam,3tjh
1nam,4qrr
1nam,7n2p
1nam,7ndu
1oga,1qse
1oga,2vlj
1oga,3o4l
1oga,3tjh
1oga,4qok
1oga,5bs0
1oga,5d2n
1oga,5w1v
1oga,7rm4
1oga,8ryq
