key,extent,e_tcr_mhc,chain_balance,pitch,crossing,dock_d,dock_torsion,dock_tcr_uy,dock_tcr_uz,dock_mhc_uy,dock_mhc_uz,e_cdr12,e_cdr3a,e_cdr3b,F_tcr_pep,F_tcr_mhc,F_pep_mhc,dF_tcr_pep,dF_pep_mhc,n_contacts_tp,n_pep_contacted,n_contacts_tm,ct_tp_salt_bridge,ct_tm_salt_bridge,ct_tp_hydrogen_bond,ct_tm_hydrogen_bond,ct_tp_aromatic,ct_tm_aromatic,ct_tp_hydrophobic,ct_tm_hydrophobic,ct_tp_other,ct_tm_other,n_hbond,burial,species,mhc_class
1ao7,26.0,0.3,0.4827586206896552,6.421456730977538,52.43479948712677,31.30188466044828,3.3520085699429916,0.12512818896500275,0.030245072233679067,0.07952154037495143,-0.12595225176320593,-0.51365670882273,0.1550104885858619,-0.14293332846498763,-0.5015795487018558,0.3,-14.700000000000005,-3.0627321641019147,-13.020000000000003,29,8,41,0,2,8,8,0,0,1,1,20,30,8,1955.8964990501772,Human,MHCI
1bd2,24.0,1.35,0.47619047619047616,5.005189783403068,68.21977181045433,30.120088773332732,3.5969106106310855,0.08292869704306097,-0.04263620113657259,0.15241985126700322,-0.04376411773699603,-0.4080316778952664,-0.7113706726173536,0.7171906476839957,-0.4022117028286244,1.35,-13.510000000000003,-4.669406180621382,-12.270000000000003,21,6,43,0,0,3,3,2,0,1,1,15,39,3,1841.1836183484556,Human,MHCI
1d9k,29.0,0.3600000000000001,0.2222222222222222,1.3182783799866975,79.19128614873961,NaN,NaN,NaN,NaN,NaN,NaN,0.9230284081085676,-0.6749008902330198,-0.42941252843667377,-0.18128501056112606,0.3600000000000001,-6.579999999999999,-2.245385313480242,-3.0700000000000007,18,7,55,1,3,2,10,1,0,1,1,13,41,2,1981.782669595501,Mouse,MHCII
1fo0,21.0,0.9500000000000002,0.0,-11.357404576822697,60.818393193241306,31.404039108251208,3.326896238549616,-0.16197111240448206,0.12417890278042319,0.1507379496391304,0.08873719111501507,-0.173629285550024,0.0,-1.8156885248717203,-1.9893178104217444,0.9500000000000002,-10.12,-4.5614248037646234,-10.959999999999999,11,4,31,0,1,5,5,0,0,0,1,6,24,5,1351.4828620546214,Mouse,MHCI
1fyt,31.0,2.9199999999999986,0.4166666666666667,-1.0280501121104542,69.5710244728681,NaN,NaN,NaN,NaN,NaN,NaN,-2.7008469779133315,-1.731187966584305,1.7019054284952362,-2.1612970729620535,2.9199999999999986,-6.74,-7.06976199688386,1.0000000000000027,24,8,48,3,1,4,2,0,0,2,2,15,43,4,2059.2661568214935,Human,MHCII
1g6r,30.0,0.6299999999999999,0.42105263157894735,-7.968591174561132,43.41094373811859,28.874180766563903,3.073590690185579,-0.05251864290645653,0.09480826801584928,0.058819820208959143,0.0055409785953839065,-0.04003041701850602,-0.6741505257779027,-0.5567614568815078,-1.3211398035448298,0.6299999999999999,-12.39,-1.1383464738189981,-11.5,19,5,38,0,0,3,3,0,0,0,0,16,35,3,1789.338379742032,Mouse,MHCI
1j8h,29.0,2.93,0.43478260869565216,-1.616648786330854,69.26678424001335,NaN,NaN,NaN,NaN,NaN,NaN,-2.32615352847192,-1.729298540626984,1.810744208529387,-1.6758754175291712,2.93,-6.05,-5.979071506927264,-0.129999999999999,23,7,48,3,2,2,2,0,0,1,2,17,42,2,2033.4063505217418,Human,MHCII
1jtr,30.0,1.36,0.4444444444444444,-10.029499126205224,42.898024281369274,28.879619970290797,3.078718476035874,-0.02868563401625288,0.09726981470139842,0.06949165546963115,0.02019664152298028,1.5964393520687936,0.2569223583625658,-0.363326617877895,1.4900350925534644,1.36,-5.779999999999999,2.164848388714616,-6.589999999999999,18,6,46,0,1,5,4,0,0,0,1,13,40,5,2014.163793925407,Mouse,MHCI
1kj2,26.0,3.43,0.46153846153846156,-9.35079301008582,47.61071153228205,29.760026739817185,3.20463261598894,0.1238627492234348,0.034637500589573565,0.045623211532290465,0.14204016446941958,-0.2763625267191269,0.3669150181794271,0.2966060987427549,0.38715859020305515,3.43,-9.029999999999998,-3.4846228682478135,-8.11,13,6,45,1,1,2,4,0,0,1,1,9,39,2,1771.1509333218455,Mouse,MHCI
1lp9,26.0,-3.6199999999999988,0.3333333333333333,-4.061213467258903,87.99323488748078,30.608526735048457,3.913400901191577,0.04564136789666125,0.10872696537552833,0.12834186422299076,0.08781863843329461,-0.1414995622737,0.805830488661876,-0.3003519098714163,0.36397901651675957,-3.6199999999999988,-14.240000000000004,6.208501445254565,-12.71,24,7,54,0,1,4,2,3,1,2,5,15,45,4,1984.2090723982983,Mouse,MHCI
