structure_id,potential,cognate_rank_pct
1ao7,TCRen 2026,19.8
1bd2,TCRen 2026,7.000000000000001
1d9k,TCRen 2026,15.1
1fo0,TCRen 2026,5.0
1fyt,TCRen 2026,2.1
1g6r,TCRen 2026,1.2
1kj2,TCRen 2026,29.799999999999997
1lp9,TCRen 2026,18.9
1mi5,TCRen 2026,0.6
1nam,TCRen 2026,15.7
1oga,TCRen 2026,0.6
1u3h,TCRen 2026,25.30612244897959
1ymm,TCRen 2026,16.8
1zgl,TCRen 2026,3.1
2bnq,TCRen 2026,0.4
2e7l,TCRen 2026,16.0
2esv,TCRen 2026,31.100478468899524
2iam,TCRen 2026,28.1
2nx5,TCRen 2026,1.5463917525773196
2pxy,TCRen 2026,2.631578947368421
2wbj,TCRen 2026,38.02345058626466
2ypl,TCRen 2026,17.0
3c5z,TCRen 2026,14.499999999999998
3c60,TCRen 2026,0.0
3c6l,TCRen 2026,0.0
3dxa,TCRen 2026,2.3
3ffc,TCRen 2026,10.5
3gsn,TCRen 2026,4.3999999999999995
3hg1,TCRen 2026,0.1
3kpr,TCRen 2026,2.7
3mbe,TCRen 2026,10.299999999999999
3mv7,TCRen 2026,0.0
3nfj,TCRen 2026,33.537519142419605
3o4l,TCRen 2026,61.8
3o6f,TCRen 2026,1.2
3pl6,TCRen 2026,1.0999999999999999
3pqy,TCRen 2026,22.49718785151856
3pwp,TCRen 2026,2.5
3qdg,TCRen 2026,1.7000000000000002
3qdm,TCRen 2026,2.0
3qib,TCRen 2026,2.7563395810363835
3qiu,TCRen 2026,1.4332965821389196
3rdt,TCRen 2026,0.11025358324145534
3rgv,TCRen 2026,2.9768467475192946
3sjv,TCRen 2026,28.199999999999996
3tf7,TCRen 2026,7.5
3tfk,TCRen 2026,8.6
3tjh,TCRen 2026,0.1
3tpu,TCRen 2026,2.1
3uts,TCRen 2026,1.5
3vxm,TCRen 2026,41.04134762633997
3vxr,TCRen 2026,6.584992343032159
3vxu,TCRen 2026,19.142419601837673
4e41,TCRen 2026,3.0
4eup,TCRen 2026,1.2
4ftv,TCRen 2026,15.1
4g8g,TCRen 2026,1.0999999999999999
4gg6,TCRen 2026,0.6
4grl,TCRen 2026,1.0
4h1l,TCRen 2026,2.7
4jfd,TCRen 2026,1.0
4may,TCRen 2026,3.2
4mji,TCRen 2026,10.7
4mnq,TCRen 2026,10.7
4ms8,TCRen 2026,8.0
4n5e,TCRen 2026,28.4
4nhu,TCRen 2026,0.1
4ozf,TCRen 2026,2.1999999999999997
4ozg,TCRen 2026,4.6
4ozh,TCRen 2026,5.800000000000001
4ozi,TCRen 2026,66.27565982404691
4p2o,TCRen 2026,7.6923076923076925
4p2q,TCRen 2026,27.500000000000004
4p2r,TCRen 2026,29.65821389195149
4p5t,TCRen 2026,0.0
4qrp,TCRen 2026,0.0
4y19,TCRen 2026,24.099999999999998
4y1a,TCRen 2026,16.900000000000002
4z7u,TCRen 2026,5.4
4z7v,TCRen 2026,3.9
4z7w,TCRen 2026,1.7000000000000002
4zez,TCRen 2026,25.5
5brz,TCRen 2026,21.7
5c07,TCRen 2026,2.0
5c09,TCRen 2026,0.8999999999999999
5d2l,TCRen 2026,0.8999999999999999
5d2n,TCRen 2026,24.3
5e6i,TCRen 2026,2.4
5e9d,TCRen 2026,27.500000000000004
5eu6,TCRen 2026,6.0
5euo,TCRen 2026,0.3
5isz,TCRen 2026,1.0
5ivx,TCRen 2026,10.337078651685392
5ks9,TCRen 2026,5.3
5ksa,TCRen 2026,13.343108504398826
5ksb,TCRen 2026,7.624633431085044
5m00,TCRen 2026,27.500000000000004
5nht,TCRen 2026,0.1
5nme,TCRen 2026,42.1
5sws,TCRen 2026,0.0
5swz,TCRen 2026,0.1
5tez,TCRen 2026,4.3999999999999995
5w1v,TCRen 2026,16.74641148325359
5wkf,TCRen 2026,5.799373040752351
5wlg,TCRen 2026,0.0
5xot,TCRen 2026,2.1
6amu,TCRen 2026,81.8
6avf,TCRen 2026,32.78688524590164
6avg,TCRen 2026,8.19672131147541
6bj2,TCRen 2026,7.3
6cql,TCRen 2026,41.3
6dfs,TCRen 2026,32.1
6dfw,TCRen 2026,13.600000000000001
6dfx,TCRen 2026,0.0
6l9l,TCRen 2026,14.2
6mkd,TCRen 2026,5.6000000000000005
6p64,TCRen 2026,1.5
6px6,TCRen 2026,4.5
6py2,TCRen 2026,96.3
6r0e,TCRen 2026,0.5
6r2l,TCRen 2026,1.0
6rp9,TCRen 2026,1.7000000000000002
6rpa,TCRen 2026,22.900000000000002
6rpb,TCRen 2026,8.6
6rsy,TCRen 2026,3.8
6tro,TCRen 2026,4.7
6u3n,TCRen 2026,31.671554252199414
6ulr,TCRen 2026,4.3
6uon,TCRen 2026,10.0
6v0y,TCRen 2026,1.9758507135016465
6v13,TCRen 2026,0.5
6vm7,TCRen 2026,37.1
6vma,TCRen 2026,44.5
6vmx,TCRen 2026,0.0
6vqo,TCRen 2026,1.3
6vrm,TCRen 2026,13.900000000000002
6vrn,TCRen 2026,44.6
6xc9,TCRen 2026,0.3663003663003663
6xco,TCRen 2026,1.3
6xcp,TCRen 2026,0.1
6zkw,TCRen 2026,66.34844868735084
7jwj,TCRen 2026,37.5
7n1e,TCRen 2026,0.0
7n1f,TCRen 2026,5.0
7n2n,TCRen 2026,0.2
7n2p,TCRen 2026,0.1
7n2r,TCRen 2026,5.0
7n2s,TCRen 2026,7.8
7n6e,TCRen 2026,66.9
7na5,TCRen 2026,13.3
7ndq,TCRen 2026,1.9093078758949882
7nme,TCRen 2026,0.6
7ow5,TCRen 2026,9.247648902821316
7pb2,TCRen 2026,0.3134796238244514
7pbc,TCRen 2026,7.8
7pbe,TCRen 2026,8.1
7phr,TCRen 2026,26.400000000000002
7q99,TCRen 2026,19.900000000000002
7q9b,TCRen 2026,4.3999999999999995
7rdv,TCRen 2026,1.2244897959183674
7rk7,TCRen 2026,8.3
7rm4,TCRen 2026,12.8
7sg0,TCRen 2026,70.96774193548387
7sg1,TCRen 2026,2.7
7z50,TCRen 2026,0.2
8cx4,TCRen 2026,0.1
8d5q,TCRen 2026,0.5617977528089888
8dnt,TCRen 2026,38.7
8en8,TCRen 2026,2.9000000000000004
8es8,TCRen 2026,8.200000000000001
8es9,TCRen 2026,31.900000000000002
8f5a,TCRen 2026,0.0
8gom,TCRen 2026,4.8
8i5c,TCRen 2026,33.4
8i5d,TCRen 2026,3.0
8qfy,TCRen 2026,82.57756563245823
8rj5,TCRen 2026,0.5
8rlt,TCRen 2026,17.899761336515514
8rro,TCRen 2026,4.3999999999999995
8rym,TCRen 2026,12.1
8ryp,TCRen 2026,17.5
8trl,TCRen 2026,8.5
8trq,TCRen 2026,4.8
8trr,TCRen 2026,17.599999999999998
8v4z,TCRen 2026,15.6
8vd0,TCRen 2026,2.1
8vq8,TCRen 2026,45.800000000000004
8wte,TCRen 2026,22.0
8ye4,TCRen 2026,0.1
8yiv,TCRen 2026,27.200000000000003
9aud,TCRen 2026,15.299999999999999
9gv6,TCRen 2026,0.2
9gv7,TCRen 2026,10.2
9hlj,TCRen 2026,3.0
9j4t,TCRen 2026,5.8999999999999995
9j4u,TCRen 2026,0.4
9k2i,TCRen 2026,5.1
9k2r,TCRen 2026,16.900000000000002
9nig,TCRen 2026,41.37931034482759
9nmu,TCRen 2026,1.5
9pbg,TCRen 2026,0.0
9ru5,TCRen 2026,1.6
9rxm,TCRen 2026,38.5
9wbd,TCRen 2026,0.0
